ID,HTML
15138,<table><tbody><tr><td><table><tbody><tr><td><b class="q3">Onyxia Scale Cloak</b><br>Binds when equipped<table width="100%"><tbody><tr><td>Back</td><th>Cloth</th></tr></tbody></table>43 Armor<br>+7 Stamina<br>+16 Fire Resistance<br>Requires Level 55<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=22683" class="q2">Protects the wearer from being fully engulfed by Shadow Flame.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18205,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Eskhandar's Collar</b><br>Binds when picked up<br>Unique<table width="100%"><tbody><tr><td>Neck</td><th></th></tr></tbody></table>+17 Stamina<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=13669" class="q2">Increases your chance to dodge an attack by 1%.</a></span><br><span class="q2">Equip: <a href="?spell=7597" class="q2">Improves your chance to get a critical strike by 1%.</a></span><br><span class="q"><a href="?itemset=261" class="q">Spirit of Eskhandar</a> (0/4)</span><div class="q0 indent"><span><a href="?item=18203">Eskhandar's Right Claw</a></span><br><span><a href="?item=18202">Eskhandar's Left Claw</a></span><br><span><a href="?item=18204">Eskhandar's Pelt</a></span><br><span><a href="?item=18205">Eskhandar's Collar</a></span><br></div><span class="q0"><span class="q0"><span>(4) Set: <a href="?spell=22648">1% chance on a melee critical hit to call forth the spirit of Eskhandar to protect you in battle for 120 sec.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18423,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Head of Onyxia (Alliance)</b><br>Binds when picked up<br>Unique<br><a class="q1" href="?quest=7495">This Item Begins a Quest</a><br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q">"The head of the Black Dragonflight's Brood Mother"</span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
16900,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Stormrage Cover</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Head</td><th>Leather</th></tr></tbody></table>183 Armor<br>+31 Intellect<br>+12 Spirit<br>+20 Stamina<br>+10 Frost Resistance<br>+10 Shadow Resistance<br>Durability 70 / 70<br>Classes: Druid<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=21626" class="q2">Restores 6 mana per 5 sec.</a></span><br><span class="q2">Equip: <a href="?spell=9344" class="q2">Increases damage and healing done by magical spells and effects by up to 15.</a></span><br><span class="q2">Equip: <a href="?spell=7681" class="q2">Increases healing done by spells and effects by up to 15.</a></span><br><span class="q"><a href="?itemset=214" class="q">Stormrage Raiment</a> (0/8)</span><div class="q0 indent"><span><a href="?item=16903">Stormrage Belt</a></span><br><span><a href="?item=16898">Stormrage Boots</a></span><br><span><a href="?item=16904">Stormrage Bracers</a></span><br><span><a href="?item=16897">Stormrage Chestguard</a></span><br><span><a href="?item=16900">Stormrage Cover</a></span><br><span><a href="?item=16899">Stormrage Handguards</a></span><br><span><a href="?item=16901">Stormrage Legguards</a></span><br><span><a href="?item=16902">Stormrage Pauldrons</a></span><br></div><span class="q0"><span class="q0"><span>(3) Set: <a href="?spell=21894">Allows 15% of your Mana regeneration to continue while casting.</a></span><br><span>(5) Set: <a href="?spell=21872">Reduces the casting time of your Regrowth spell by 200 sec.</a></span><br><span>(8) Set: <a href="?spell=21871">Increases the duration of your Rejuvenation spell by 3000 sec.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18705,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Mature Black Dragon Sinew</b><br>Binds when picked up<br>Unique<br>Classes: Hunter<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
15410,<table><tbody><tr><td><table><tbody><tr><td><b class="q3">Scale of Onyxia</b><table width="100%"><tbody><tr><td></td></tr></tbody></table></td></tr></tbody></table><table><tbody><tr><td></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18422,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Head of Onyxia (Horde)</b><br>Binds when picked up<br>Unique<br><a class="q1" href="?quest=7490">This Item Begins a Quest</a><br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q">"The head of the Black Dragonflight's Brood Mother"</span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18406,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Onyxia Blood Talisman</b><br>Binds when picked up<table width="100%"><tbody><tr><td>Trinket</td><th></th></tr></tbody></table>+15 Fire Resistance<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=13667" class="q2">Increases your chance to parry an attack by 2%.</a></span><br><span class="q2">Equip: <a href="?spell=13386" class="q2">Increased Defense +7.</a></span><br><span class="q2">Equip: <a href="?spell=21601" class="q2">Restores 7 health per 5 sec.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
18813,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Ring of Binding</b><br>Binds when picked up<br>Unique<table width="100%"><tbody><tr><td>Finger</td><th></th></tr></tbody></table>100 Armor<br>+16 Stamina<br>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=13384" class="q2">Increased Defense +6.</a></span><br><span class="q2">Equip: <a href="?spell=18676" class="q2">+5 All Resistances.</a></span><br></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
17064,<table><tbody><tr><td><table><tbody><tr><td><b class="q4">Shard of the Scale</b><br>Binds when picked up<br>Unique<table width="100%"><tbody><tr><td>Trinket</td><th></th></tr></tbody></table>Requires Level 60<br></td></tr></tbody></table><table><tbody><tr><td><span class="q2">Equip: <a href="?spell=23212" class="q2">Restores 16 mana per 5 sec.</a></span><br><span class="q"><a href="?itemset=241" class="q">Shard of the Gods</a> (0/2)</span><div class="q0 indent"><span><a href="?item=17082">Shard of the Flame</a></span><br><span><a href="?item=17064">Shard of the Scale</a></span><br></div><span class="q0"><span class="q0"><span>(2) Set: <a href="?spell=18681">+10 All Resistances.</a></span><br></span></span></td></tr></tbody></table></td><th style="background-position: top right"></th></tr><tr><th style="background-position: bottom left"></th><th style="background-position: bottom right"></th></tr></tbody></table>
